customerID,City,Lat,Long,country,iso2,State
7590-VHVEG,Abohar,30.144533,74.19552,India,IN,Punjab
5575-GNVDE,Adilabad,19.4,78.31,India,IN,Telangana
3668-QPYBK,Agartala,23.836049,91.279386,India,IN,Tripura
7795-CFOCW,Agra,27.187935,78.003944,India,IN,Uttar Pradesh
9237-HQITU,Ahmadnagar,19.094571,74.738432,India,IN,Maharashtra
9305-CDSKC,Ahmedabad,23.025793,72.587265,India,IN,Gujarat
1452-KIOVK,Aizawl,23.736701,92.714596,India,IN,Mizoram
6713-OKOMC,Ajmer,26.452103,74.638667,India,IN,Rajasthan
7892-POOKP,Akola,20.709569,76.998103,India,IN,Maharashtra
6388-TABGU,Alappuzha,9.494647,76.331108,India,IN,Kerala
9763-GRSKD,Aligarh,27.881453,78.07464,India,IN,Uttar Pradesh
7469-LKBCI,Alipurduar,26.4835,89.522855,India,IN,West Bengal
8091-TTVAX,Allahabad,25.44478,81.843217,India,IN,Uttar Pradesh
0280-XJGEX,Alwar,27.566291,76.610202,India,IN,Rajasthan
5129-JLPIS,Ambala,30.360993,76.797819,India,IN,Haryana
3655-SNQYZ,Amaravati,20.933272,77.75152,India,IN,Maharashtra
8191-XWSZG,Amritsar,31.622337,74.875335,India,IN,Punjab
9959-WOFKT,Asansol,23.683333,86.983333,India,IN,West Bengal
4190-MFLUW,Aurangabad,19.880943,75.346739,India,IN,Maharashtra
4183-MYFRB,Aurangabad,24.752037,84.374202,India,IN,Bihar
8779-QRDMV,Bakshpur,25.894283,80.792104,India,IN,Uttar Pradesh
1680-VDCWW,Bamanpuri,28.804495,79.040305,India,IN,Uttar Pradesh
1066-JKSGK,Baramula,34.209004,74.342853,India,IN,Jammu and Kashmir
3638-WEABW,Barddhaman,23.255716,87.856906,India,IN,West Bengal
6322-HRPFA,Bareilly,28.347023,79.421934,India,IN,Uttar Pradesh
6865-JZNKO,Belgaum,15.862643,74.508534,India,IN,Karnataka
6467-CHFZW,Bellary,15.142049,76.92398,India,IN,Karnataka
8665-UTDHZ,Bengaluru,12.977063,77.587106,India,IN,Karnataka
5248-YGIJN,Bhagalpur,25.244462,86.971832,India,IN,Bihar
8773-HHUOZ,Bharatpur,27.215251,77.492786,India,IN,Rajasthan
3841-NFECX,Bharauri,27.598203,81.694709,India,IN,Uttar Pradesh
4929-XIHVW,Bhatpara,22.866431,88.401129,India,IN,West Bengal
6827-IEAUQ,Bhavnagar,21.774455,72.152496,India,IN,Gujarat
7310-EGVHZ,Bhilai,21.209188,81.428497,India,IN,Chhattisgarh
3413-BMNZE,Bhilwara,25.347071,74.640812,India,IN,Rajasthan
6234-RAAPL,Bhiwandi,19.300229,73.058813,India,IN,Maharashtra
6047-YHPVI,Bhiwani,28.793044,76.13968,India,IN,Haryana
6572-ADKRS,Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh
5380-WJKOV,Bhubaneshwar,20.272411,85.833853,India,IN,Odisha
8168-UQWWF,Bhuj,23.253972,69.669281,India,IN,Gujarat
8865-TNMNX,Bhusaval,21.043649,75.785058,India,IN,Maharashtra
9489-DEDVP,Bidar,17.913309,77.530105,India,IN,Karnataka
9867-JCZSP,Bijapur,16.827715,75.718988,India,IN,Karnataka
4671-VJLCL,Bikaner,28.017623,73.314955,India,IN,Rajasthan
4080-IIARD,Bilaspur,22.080046,82.155431,India,IN,Chhattisgarh
